Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,NDVI_Terra_MOD13A3
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2000-11-01,MASA,0.24300000000000002
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2000-12-01,MASA,0.3179
Mazandaran,23.7,99309,36.48,52.47,Amol,2000-12-01,MASA,0.3785
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2000-12-01,MASA,0.2467
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2000-12-01,MASA,0.1378
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2000-12-01,MASA,-0.09090000000000001
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2000-12-01,MASA,0.464
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2000-12-01,MASA,0.40800000000000003
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2000-12-01,MASA,0.275
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2000-12-01,MASA,0.3035
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2000-12-01,MASA,0.5079
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2000-12-01,MASA,0.3931
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2000-12-01,MASA,0.5186000000000001
Mazandaran,23.0,40759,36.54,53.0,Sari,2000-12-01,MASA,0.4433
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2000-12-01,MASA,0.5431
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2000-12-01,MASA,0.2426
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2001-01-01,MASA,0.3148
Mazandaran,23.7,99309,36.48,52.47,Amol,2001-01-01,MASA,0.36200000000000004
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2001-01-01,MASA,0.2305
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2001-01-01,MASA,0.136
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2001-01-01,MASA,0.0981
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2001-01-01,MASA,0.40490000000000004
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2001-01-01,MASA,0.3713
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2001-01-01,MASA,0.3013
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2001-01-01,MASA,0.2817
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2001-01-01,MASA,0.36660000000000004
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2001-01-01,MASA,0.37360000000000004
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2001-01-01,MASA,0.43970000000000004
Mazandaran,23.0,40759,36.54,53.0,Sari,2001-01-01,MASA,0.4344
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2001-01-01,MASA,0.4685
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2001-01-01,MASA,0.22410000000000002
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2001-02-01,MASA,0.26990000000000003
Mazandaran,23.7,99309,36.48,52.47,Amol,2001-02-01,MASA,0.329
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2001-02-01,MASA,0.20770000000000002
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2001-02-01,MASA,0.1305
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2001-02-01,MASA,-0.0502
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2001-02-01,MASA,0.4151
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2001-02-01,MASA,0.35810000000000003
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2001-02-01,MASA,0.3149
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2001-02-01,MASA,0.2366
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2001-02-01,MASA,0.3678
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2001-02-01,MASA,0.4436
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2001-02-01,MASA,0.3935
Mazandaran,23.0,40759,36.54,53.0,Sari,2001-02-01,MASA,0.39930000000000004
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2001-02-01,MASA,0.4279
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2001-02-01,MASA,0.2061
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2001-03-01,MASA,0.3538
Mazandaran,23.7,99309,36.48,52.47,Amol,2001-03-01,MASA,0.32
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2001-03-01,MASA,0.2093
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2001-03-01,MASA,0.11570000000000001
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2001-03-01,MASA,0.10200000000000001
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2001-03-01,MASA,0.432
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2001-03-01,MASA,0.3754
