Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,EVI_Terra_MOD13A3
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2001-01-01,MASA,0.1567
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2001-01-01,MASA,0.1966
Mazandaran,23.0,40759,36.54,53.0,Sari,2001-01-01,MASA,0.216
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2001-01-01,MASA,0.2558
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2001-01-01,MASA,0.0618
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2001-02-01,MASA,0.1386
Mazandaran,23.7,99309,36.48,52.47,Amol,2001-02-01,MASA,0.1716
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2001-02-01,MASA,0.09530000000000001
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2001-02-01,MASA,0.07690000000000001
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2001-02-01,MASA,-0.009300000000000001
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2001-02-01,MASA,0.2227
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2001-02-01,MASA,0.16840000000000002
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2001-02-01,MASA,0.1779
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2001-02-01,MASA,0.1588
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2001-02-01,MASA,0.1676
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2001-02-01,MASA,0.1673
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2001-02-01,MASA,0.18100000000000002
Mazandaran,23.0,40759,36.54,53.0,Sari,2001-02-01,MASA,0.2041
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2001-02-01,MASA,0.2452
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2001-02-01,MASA,0.1135
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2001-03-01,MASA,0.182
Mazandaran,23.7,99309,36.48,52.47,Amol,2001-03-01,MASA,0.1632
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2001-03-01,MASA,0.1119
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2001-03-01,MASA,0.0741
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2001-03-01,MASA,0.031400000000000004
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2001-03-01,MASA,0.2667
