Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,LST_Night_Aqua_MYD21C3
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-10-01,MASA,5.526800000000001
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-10-01,MASA,5.94
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-10-01,MASA,5.7856000000000005
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-10-01,MASA,5.777200000000001
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-10-01,MASA,5.650399999999999
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-10-01,MASA,5.5904
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-10-01,MASA,5.8616
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-10-01,MASA,5.7352
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-10-01,MASA,5.793200000000001
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-10-01,MASA,5.776800000000001
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-10-01,MASA,5.758000000000001
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-10-01,MASA,5.6216
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-11-01,MASA,5.478400000000001
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-11-01,MASA,5.599600000000001
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-11-01,MASA,5.7176
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-11-01,MASA,5.412000000000001
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-11-01,MASA,5.823200000000001
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-11-01,MASA,5.6184
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-11-01,MASA,5.63
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-11-01,MASA,5.518000000000001
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-11-01,MASA,5.481599999999999
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-11-01,MASA,5.784400000000001
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-11-01,MASA,5.566800000000001
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-11-01,MASA,5.624
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-11-01,MASA,5.6332
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-11-01,MASA,5.6204
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-11-01,MASA,5.486800000000001
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-12-01,MASA,5.4548000000000005
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-12-01,MASA,5.527200000000001
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-12-01,MASA,5.6596
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-12-01,MASA,5.317200000000001
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-12-01,MASA,5.734
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-12-01,MASA,5.562
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-12-01,MASA,5.5444
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-12-01,MASA,5.5152
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-12-01,MASA,5.4076
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-12-01,MASA,5.710800000000001
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-12-01,MASA,5.5291999999999994
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-12-01,MASA,5.5828
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-12-01,MASA,5.544
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-12-01,MASA,5.5424
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-12-01,MASA,5.462000000000001
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2004-01-01,MASA,5.4068000000000005
Mazandaran,23.7,99309,36.48,52.47,Amol,2004-01-01,MASA,5.5376
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2004-01-01,MASA,5.6339999999999995
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2004-01-01,MASA,5.2892
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2004-01-01,MASA,5.7056000000000004
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2004-01-01,MASA,5.5564
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2004-01-01,MASA,5.5596000000000005
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2004-01-01,MASA,5.462400000000001
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2004-01-01,MASA,5.396
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2004-01-01,MASA,5.688400000000001
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2004-01-01,MASA,5.5224
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2004-01-01,MASA,5.598400000000001
Mazandaran,23.0,40759,36.54,53.0,Sari,2004-01-01,MASA,5.549600000000001
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2004-01-01,MASA,5.5280000000000005
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2004-01-01,MASA,5.4632000000000005
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2004-02-01,MASA,5.4276
Mazandaran,23.7,99309,36.48,52.47,Amol,2004-02-01,MASA,5.5536
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2004-02-01,MASA,5.6428
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2004-02-01,MASA,5.340800000000001
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2004-02-01,MASA,5.7048000000000005
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2004-02-01,MASA,5.5736
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2004-02-01,MASA,5.561599999999999
