Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,EVI_Aqua_MYD13A3
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-05-01,MASA,0.4843
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-05-01,MASA,0.2743
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-05-01,MASA,0.24500000000000002
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-05-01,MASA,0.3327
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-05-01,MASA,0.2655
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-05-01,MASA,0.22990000000000002
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-05-01,MASA,0.20700000000000002
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-05-01,MASA,0.3286
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-06-01,MASA,0.3245
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-06-01,MASA,0.26530000000000004
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-06-01,MASA,0.1905
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-06-01,MASA,0.1814
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-06-01,MASA,-0.0083
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-06-01,MASA,0.18660000000000002
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-06-01,MASA,0.39380000000000004
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-06-01,MASA,0.4932
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-06-01,MASA,0.2409
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-06-01,MASA,0.2942
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-06-01,MASA,0.4353
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-06-01,MASA,0.37520000000000003
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-06-01,MASA,0.2833
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-06-01,MASA,0.24350000000000002
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-06-01,MASA,0.4102
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-07-01,MASA,0.2731
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-07-01,MASA,0.5411
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-07-01,MASA,0.20400000000000001
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-07-01,MASA,0.16590000000000002
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-07-01,MASA,-0.030000000000000002
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-07-01,MASA,0.3327
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-07-01,MASA,0.45780000000000004
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-07-01,MASA,0.15760000000000002
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-07-01,MASA,0.24580000000000002
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-07-01,MASA,0.2886
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-07-01,MASA,0.3312
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-07-01,MASA,0.32580000000000003
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-07-01,MASA,0.42660000000000003
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-07-01,MASA,0.3804
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-07-01,MASA,0.3282
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-08-01,MASA,0.2227
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-08-01,MASA,0.517
