Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,NDVI_Aqua_MYD13A3
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-06-01,MASA,0.5847
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-06-01,MASA,0.4636
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-06-01,MASA,0.392
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-06-01,MASA,0.6668000000000001
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-07-01,MASA,0.5198
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-07-01,MASA,0.7463000000000001
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-07-01,MASA,0.3662
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-07-01,MASA,0.2311
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-07-01,MASA,-0.1603
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-07-01,MASA,0.499
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-07-01,MASA,0.677
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-07-01,MASA,0.2775
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-07-01,MASA,0.3402
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-07-01,MASA,0.6042000000000001
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-07-01,MASA,0.5789000000000001
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-07-01,MASA,0.5779000000000001
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-07-01,MASA,0.6286
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-07-01,MASA,0.5577
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-07-01,MASA,0.5445
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-08-01,MASA,0.4399
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-08-01,MASA,0.7061000000000001
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-08-01,MASA,0.2457
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-08-01,MASA,0.21780000000000002
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-08-01,MASA,0.3299
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-08-01,MASA,0.6034
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-08-01,MASA,0.5967
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-08-01,MASA,0.219
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-08-01,MASA,0.3063
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-08-01,MASA,0.5844
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-08-01,MASA,0.6231
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-08-01,MASA,0.5481
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-08-01,MASA,0.5506
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-08-01,MASA,0.5543
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-08-01,MASA,0.43660000000000004
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-09-01,MASA,0.4067
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-09-01,MASA,0.522
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-09-01,MASA,0.34550000000000003
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-09-01,MASA,0.18910000000000002
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-09-01,MASA,0.3299
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-09-01,MASA,0.5781000000000001
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-09-01,MASA,0.5418000000000001
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-09-01,MASA,0.2305
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-09-01,MASA,0.2942
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-09-01,MASA,0.5576
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-09-01,MASA,0.6197
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-09-01,MASA,0.6339
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-09-01,MASA,0.4429
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-09-01,MASA,0.4413
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-09-01,MASA,0.4626
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-10-01,MASA,0.3285
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-10-01,MASA,0.5086
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-10-01,MASA,0.2843
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-10-01,MASA,0.1874
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-10-01,MASA,-0.06720000000000001
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-10-01,MASA,0.48660000000000003
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-10-01,MASA,0.5897
