Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,CHIRPS
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1990-10-01,MASA,107.9143431186676
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1990-10-01,MASA,
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1990-10-01,MASA,43.67006039619446
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1990-10-01,MASA,89.96608936786652
Mazandaran,23.0,40759,36.54,53.0,Sari,1990-10-01,MASA,88.97598958015442
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1990-10-01,MASA,87.30693459510803
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1990-10-01,MASA,108.71493625640869
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1990-11-01,MASA,76.98693990707397
Mazandaran,23.7,99309,36.48,52.47,Amol,1990-11-01,MASA,50.18814039230347
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1990-11-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1990-11-01,MASA,119.35208797454834
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1990-11-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1990-11-01,MASA,31.83712387084961
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1990-11-01,MASA,57.68789196014404
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1990-11-01,MASA,36.642029762268066
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1990-11-01,MASA,96.78010004758835
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1990-11-01,MASA,
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1990-11-01,MASA,56.65825414657593
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1990-11-01,MASA,58.18461084365845
Mazandaran,23.0,40759,36.54,53.0,Sari,1990-11-01,MASA,56.023998975753784
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1990-11-01,MASA,47.442601919174194
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1990-11-01,MASA,126.51925852149725
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1990-12-01,MASA,153.59582602977753
Mazandaran,23.7,99309,36.48,52.47,Amol,1990-12-01,MASA,110.33427602052689
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1990-12-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1990-12-01,MASA,270.72103118896484
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1990-12-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1990-12-01,MASA,47.77563667297363
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1990-12-01,MASA,125.56641483306885
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1990-12-01,MASA,93.54691958427429
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1990-12-01,MASA,183.45281958580017
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1990-12-01,MASA,
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1990-12-01,MASA,123.56662452220917
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1990-12-01,MASA,164.3431053161621
Mazandaran,23.0,40759,36.54,53.0,Sari,1990-12-01,MASA,101.43331146240234
