Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,GPM
Mazandaran,23.0,40759,36.54,53.0,Sari,1998-09-01,MASA,84.96000587940216
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1998-09-01,MASA,72.72000253200531
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1998-09-01,MASA,58.32000017166138
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1998-10-01,MASA,43.15200152993202
Mazandaran,23.7,99309,36.48,52.47,Amol,1998-10-01,MASA,80.35200208425522
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1998-10-01,MASA,71.42400062084198
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1998-10-01,MASA,58.7760027050972
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1998-10-01,MASA,42.40800279378891
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1998-10-01,MASA,33.48000133037567
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1998-10-01,MASA,78.1200031042099
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1998-10-01,MASA,40.17600104212761
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1998-10-01,MASA,66.21600115299225
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1998-10-01,MASA,89.28000354766846
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1998-10-01,MASA,45.38400328159332
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1998-10-01,MASA,154.7520031929016
Mazandaran,23.0,40759,36.54,53.0,Sari,1998-10-01,MASA,66.96000266075134
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1998-10-01,MASA,57.288005232810974
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1998-10-01,MASA,65.47200518846512
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1998-11-01,MASA,17.280000150203705
Mazandaran,23.7,99309,36.48,52.47,Amol,1998-11-01,MASA,37.440000772476196
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1998-11-01,MASA,32.40000128746033
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1998-11-01,MASA,38.1600022315979
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1998-11-01,MASA,17.280000150203705
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1998-11-01,MASA,12.240000665187836
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1998-11-01,MASA,41.760001480579376
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1998-11-01,MASA,10.800000429153442
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1998-11-01,MASA,41.760001480579376
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1998-11-01,MASA,59.760003089904785
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1998-11-01,MASA,17.280000150203705
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1998-11-01,MASA,99.3600082397461
Mazandaran,23.0,40759,36.54,53.0,Sari,1998-11-01,MASA,27.360001802444458
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1998-11-01,MASA,21.600000858306885
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1998-11-01,MASA,43.20000171661377
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1998-12-01,MASA,30.50400084257126
Mazandaran,23.7,99309,36.48,52.47,Amol,1998-12-01,MASA,41.664001286029816
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1998-12-01,MASA,37.200000554323196
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1998-12-01,MASA,40.17600104212761
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1998-12-01,MASA,25.296001374721527
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1998-12-01,MASA,20.832000643014908
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1998-12-01,MASA,40.9200025498867
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1998-12-01,MASA,26.04000011086464
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1998-12-01,MASA,40.17600104212761
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1998-12-01,MASA,50.592002749443054
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1998-12-01,MASA,30.50400084257126
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1998-12-01,MASA,101.9280070066452
Mazandaran,23.0,40759,36.54,53.0,Sari,1998-12-01,MASA,35.71200031042099
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1998-12-01,MASA,31.248002350330353
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1998-12-01,MASA,42.40800279378891
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1999-01-01,MASA,74.40000110864639
Mazandaran,23.7,99309,36.48,52.47,Amol,1999-01-01,MASA,100.44000399112701
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1999-01-01,MASA,93.7440015077591
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1999-01-01,MASA,72.16800212860107
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1999-01-01,MASA,71.42400062084198
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1999-01-01,MASA,61.00800168514252
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1999-01-01,MASA,89.28000354766846
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1999-01-01,MASA,65.47200518846512
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1999-01-01,MASA,74.40000110864639
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1999-01-01,MASA,70.68000465631485
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1999-01-01,MASA,73.65600514411926
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1999-01-01,MASA,85.56000155210495
Mazandaran,23.0,40759,36.54,53.0,Sari,1999-01-01,MASA,91.51200252771378
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1999-01-01,MASA,82.5840066075325
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1999-01-01,MASA,63.98400217294693
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1999-02-01,MASA,26.208000540733337
Mazandaran,23.7,99309,36.48,52.47,Amol,1999-02-01,MASA,20.83200091123581
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1999-02-01,MASA,18.144000470638275
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1999-02-01,MASA,32.92800164222717
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1999-02-01,MASA,15.456001281738281
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1999-02-01,MASA,18.144000470638275
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1999-02-01,MASA,24.192001461982727
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1999-02-01,MASA,19.488000690937042
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1999-02-01,MASA,30.912002563476562
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1999-02-01,MASA,30.24000120162964
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1999-02-01,MASA,22.84800124168396
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1999-02-01,MASA,27.552000761032104
Mazandaran,23.0,40759,36.54,53.0,Sari,1999-02-01,MASA,18.81600058078766
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1999-02-01,MASA,18.144000470638275
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1999-02-01,MASA,34.27200186252594
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1999-03-01,MASA,57.288005232810974
Mazandaran,23.7,99309,36.48,52.47,Amol,1999-03-01,MASA,67.70400416851044
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1999-03-01,MASA,61.75200319290161
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1999-03-01,MASA,50.592002749443054
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1999-03-01,MASA,45.38400328159332
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1999-03-01,MASA,43.15200152993202
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1999-03-01,MASA,58.7760027050972
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1999-03-01,MASA,49.103999733924866
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1999-03-01,MASA,48.360003769397736
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1999-03-01,MASA,41.664001286029816
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1999-03-01,MASA,55.05600070953369
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1999-03-01,MASA,59.52000421285629
Mazandaran,23.0,40759,36.54,53.0,Sari,1999-03-01,MASA,61.75200319290161
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1999-03-01,MASA,55.800002217292786
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1999-03-01,MASA,44.64000177383423
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1999-04-01,MASA,37.440000772476196
Mazandaran,23.7,99309,36.48,52.47,Amol,1999-04-01,MASA,43.920003175735474
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1999-04-01,MASA,41.760001480579376
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1999-04-01,MASA,36.0000005364418
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1999-04-01,MASA,36.72000199556351
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1999-04-01,MASA,31.680002510547638
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1999-04-01,MASA,41.760001480579376
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1999-04-01,MASA,32.40000128746033
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1999-04-01,MASA,37.440000772476196
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1999-04-01,MASA,41.760001480579376
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1999-04-01,MASA,36.0000005364418
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1999-04-01,MASA,58.32000017166138
Mazandaran,23.0,40759,36.54,53.0,Sari,1999-04-01,MASA,40.32000124454498
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1999-04-01,MASA,38.1600022315979
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1999-04-01,MASA,34.56000030040741
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1999-05-01,MASA,33.48000133037567
Mazandaran,23.7,99309,36.48,52.47,Amol,1999-05-01,MASA,59.52000421285629
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1999-05-01,MASA,52.82400172948837
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1999-05-01,MASA,42.40800279378891
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1999-05-01,MASA,31.992001086473465
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1999-05-01,MASA,29.760002106428146
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1999-05-01,MASA,55.800002217292786
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1999-05-01,MASA,28.27200186252594
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1999-05-01,MASA,46.87200075387955
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1999-05-01,MASA,53.56800323724747
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1999-05-01,MASA,34.224002838134766
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1999-05-01,MASA,63.98400217294693
Mazandaran,23.0,40759,36.54,53.0,Sari,1999-05-01,MASA,49.103999733924866
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1999-05-01,MASA,41.664001286029816
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1999-05-01,MASA,40.17600104212761
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1999-06-01,MASA,9.360000193119049
Mazandaran,23.7,99309,36.48,52.47,Amol,1999-06-01,MASA,15.840001255273819
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1999-06-01,MASA,12.960000783205032
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1999-06-01,MASA,10.800000429153442
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1999-06-01,MASA,5.040000155568123
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1999-06-01,MASA,3.6000002548098564
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1999-06-01,MASA,14.400001019239426
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1999-06-01,MASA,3.6000002548098564
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1999-06-01,MASA,11.520000547170639
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1999-06-01,MASA,10.800000429153442
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1999-06-01,MASA,7.9200006276369095
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1999-06-01,MASA,6.480000391602516
Mazandaran,23.0,40759,36.54,53.0,Sari,1999-06-01,MASA,10.800000429153442
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1999-06-01,MASA,7.9200006276369095
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1999-06-01,MASA,8.640000075101852
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1999-07-01,MASA,75.14400261640549
Mazandaran,23.7,99309,36.48,52.47,Amol,1999-07-01,MASA,81.09600359201431
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1999-07-01,MASA,83.32800257205963
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1999-07-01,MASA,55.800002217292786
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1999-07-01,MASA,78.1200031042099
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1999-07-01,MASA,72.16800212860107
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1999-07-01,MASA,73.65600514411926
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1999-07-01,MASA,95.23200452327728
