Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,TerraClimate
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1981-05-01,MASA,34
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1981-05-01,MASA,50
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1981-06-01,MASA,16
Mazandaran,23.7,99309,36.48,52.47,Amol,1981-06-01,MASA,22
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1981-06-01,MASA,7
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1981-06-01,MASA,10
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1981-06-01,MASA,5
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1981-06-01,MASA,17
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1981-06-01,MASA,32
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1981-06-01,MASA,14
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1981-06-01,MASA,14
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1981-06-01,MASA,27
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1981-06-01,MASA,21
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1981-06-01,MASA,48
Mazandaran,23.0,40759,36.54,53.0,Sari,1981-06-01,MASA,11
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1981-06-01,MASA,5
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1981-06-01,MASA,13
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1981-07-01,MASA,28
Mazandaran,23.7,99309,36.48,52.47,Amol,1981-07-01,MASA,47
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1981-07-01,MASA,18
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1981-07-01,MASA,16
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1981-07-01,MASA,17
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1981-07-01,MASA,49
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1981-07-01,MASA,49
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1981-07-01,MASA,28
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1981-07-01,MASA,19
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1981-07-01,MASA,15
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1981-07-01,MASA,36
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1981-07-01,MASA,46
Mazandaran,23.0,40759,36.54,53.0,Sari,1981-07-01,MASA,30
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1981-07-01,MASA,14
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1981-07-01,MASA,17
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1981-08-01,MASA,4
Mazandaran,23.7,99309,36.48,52.47,Amol,1981-08-01,MASA,18
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1981-08-01,MASA,7
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1981-08-01,MASA,2
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1981-08-01,MASA,5
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1981-08-01,MASA,11
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1981-08-01,MASA,24
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1981-08-01,MASA,3
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1981-08-01,MASA,4
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1981-08-01,MASA,21
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1981-08-01,MASA,7
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1981-08-01,MASA,34
Mazandaran,23.0,40759,36.54,53.0,Sari,1981-08-01,MASA,8
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1981-08-01,MASA,3
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1981-08-01,MASA,2
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1981-09-01,MASA,32
Mazandaran,23.7,99309,36.48,52.47,Amol,1981-09-01,MASA,222
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1981-09-01,MASA,219
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1981-09-01,MASA,6
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1981-09-01,MASA,99
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1981-09-01,MASA,85
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1981-09-01,MASA,214
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1981-09-01,MASA,28
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1981-09-01,MASA,23
