system:index,Province,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,mean,precipitation_mm,.geo
200004_0000000000000000000f,Gilan,-23.6,40718,37.48,49.458,Bandar-e-anzali,2000-04,0.007650141371751573,7.650141371751573,"{""type"":""Point"",""coordinates"":[49.45799893856652,37.48000182070969]}"
200004_00000000000000000010,Gilan,1581.4,40805,36.708,49.802,Jirandeh,2000-04,0.02579030836966112,25.79030836966112,"{""type"":""Point"",""coordinates"":[49.80200074843565,36.70800211442765]}"
200004_00000000000000000011,Gilan,-22.0,99268,37.417,49.883,Kiyashahr,2000-04,0.005907882703805711,5.907882703805711,"{""type"":""Point"",""coordinates"":[49.883000319071506,37.41699918192554]}"
200004_00000000000000000012,Gilan,34.2,99276,37.194,50.016,Lahijan,2000-04,0.01507066632654741,15.07066632654741,"{""type"":""Point"",""coordinates"":[50.01600192619263,37.193999538242714]}"
200004_00000000000000000013,Gilan,338.3,40720,36.729,49.41,Manjil,2000-04,0.024037827505136278,24.037827505136278,"{""type"":""Point"",""coordinates"":[49.41000117482722,36.72900002128832]}"
200004_00000000000000000014,Gilan,1081.0,99281,37.15,48.983,Masuleh,2000-04,0.035232965601945665,35.232965601945665,"{""type"":""Point"",""coordinates"":[48.9830021170503,37.15000158814836]}"
200004_00000000000000000015,Gilan,24.8,99272,37.203,49.645,Rasht (agricultulal),2000-04,0.021233294858003404,21.233294858003404,"{""type"":""Point"",""coordinates"":[49.645000259444885,37.20299800416857]}"
200004_00000000000000000016,Gilan,-21.1,40709,38.365,48.855,Astara,2000-04,0.06636694516089037,66.36694516089037,"{""type"":""Point"",""coordinates"":[48.85499916221009,38.36499960678709]}"
200004_00000000000000000017,Gilan,7.0,99249,37.839,48.897,Talesh,2000-04,0.09433687175657823,94.33687175657823,"{""type"":""Point"",""coordinates"":[48.89699943503249,37.838999587421554]}"
200004_00000000000000000018,Gilan,-8.6,40719,37.323,49.624,Rasht,2000-04,0.016073067440057542,16.073067440057542,"{""type"":""Point"",""coordinates"":[49.62399789348315,37.32300133171889]}"
200005_00000000000000000000,Mazandaran,23.0,40759,36.536,52.998,Sari,2000-05,0.03848133190541603,38.48133190541603,"{""type"":""Point"",""coordinates"":[52.997999001078234,36.53600120949307]}"
200005_00000000000000000001,Mazandaran,-20.0,99306,36.856,53.386,Bandar-e-amirabad,2000-05,0.026453874548963086,26.453874548963086,"{""type"":""Point"",""coordinates"":[53.38599876104172,36.85599967839152]}"
200005_00000000000000000002,Mazandaran,2120.0,99357,36.198,51.801,Baladeh,2000-05,0.07891953690915443,78.91953690915443,"{""type"":""Point"",""coordinates"":[51.80099791429122,36.198001349641885]}"
200005_00000000000000000003,Mazandaran,-10.0,99299,36.738,53.837,Galugah,2000-05,0.0420558224525962,42.0558224525962,"{""type"":""Point"",""coordinates"":[53.83700115978934,36.73799848721418]}"
200005_00000000000000000004,Mazandaran,14.7,40737,36.487,52.108,Gharakhil,2000-05,0.1413825522270713,141.3825522270713,"{""type"":""Point"",""coordinates"":[52.10799810361887,36.48700014801676]}"
200005_00000000000000000005,Mazandaran,1294.3,40760,36.248,53.546,Kiyasar,2000-05,0.044672168335011975,44.672168335011975,"{""type"":""Point"",""coordinates"":[53.54600022504147,36.24800124975417]}"
200005_00000000000000000006,Mazandaran,1805.0,99361,36.071,52.843,Alasht,2000-05,0.08331128164201118,83.31128164201118,"{""type"":""Point"",""coordinates"":[52.84300064846047,36.07100169253869]}"
200005_00000000000000000007,Mazandaran,23.7,99309,36.479,52.468,Amol,2000-05,0.04997629626660682,49.97629626660682,"{""type"":""Point"",""coordinates"":[52.46799916806776,36.479000520726885]}"
200005_00000000000000000008,Mazandaran,1550.0,99348,36.39,51.729,Kojur,2000-05,0.14111716254620887,141.11716254620887,"{""type"":""Point"",""coordinates"":[51.729001268682296,36.390001322801155]}"
200005_00000000000000000009,Mazandaran,610.0,99360,36.104,53.062,Polsefid,2000-05,0.07772565587430336,77.72565587430336,"{""type"":""Point"",""coordinates"":[53.06200047849835,36.103999040334195]}"
200005_0000000000000000000a,Mazandaran,1855.4,40735,36.231,51.303,Siahbisheh,2000-05,0.08022224112420417,80.22224112420417,"{""type"":""Point"",""coordinates"":[51.303001049541336,36.23099869743738]}"
